PEP_2016_PEPANNHU_with_ann,,,,,,,,,,,,
GEO.id,GEO.id2,GEO.display-label,hucen42010,hubase42010,huest72010,huest72011,huest72012,huest72013,huest72014,huest72015,huest72016,huest72017
Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Housing Unit Estimate (as of July 1) - 2010,Housing Unit Estimate (as of July 1) - 2011,Housing Unit Estimate (as of July 1) - 2012,Housing Unit Estimate (as of July 1) - 2013,Housing Unit Estimate (as of July 1) - 2014,Housing Unit Estimate (as of July 1) - 2015,Housing Unit Estimate (as of July 1) - 2016,Housing Unit Estimate (as of July 1) - 2017
0500000US06085,6085,"Santa Clara County, California","631,920","631,929","632,141","635,953","638,712","643,836","651,054","660,571","665,061","671,125"
